CountryName,Region,Under5DeathsPer1000,FertilityRate
Monaco,Europe & Central Asia,3.0,
Mongolia,East Asia & Pacific,15.4,2.9
Montenegro,Europe & Central Asia,2.5,1.75
Morocco,Middle East & North Africa,18.7,2.353
Mozambique,Sub-Saharan Africa,71.6,4.713
Myanmar,East Asia & Pacific,43.2,2.174
Namibia,Sub-Saharan Africa,40.3,3.349
Nauru,East Asia & Pacific,28.6,3.571
Nepal,South Asia,28.2,2.055
Netherlands,Europe & Central Asia,4.1,1.54
New Caledonia,East Asia & Pacific,,2.04
New Zealand,East Asia & Pacific,4.8,1.61
Nicaragua,Latin America & Caribbean,14.0,2.349
Niger,Sub-Saharan Africa,116.3,6.892
Nigeria,Sub-Saharan Africa,113.8,5.309
North Macedonia,Europe & Central Asia,5.9,1.31
Northern Mariana Islands,East Asia & Pacific,,
Norway,Europe & Central Asia,2.3,1.48
Oman,Middle East & North Africa,10.4,2.687
Pakistan,South Asia,65.5,3.555
Palau,East Asia & Pacific,16.8,0.85
Panama,Latin America & Caribbean,14.4,2.344
Papua New Guinea,East Asia & Pacific,44.2,3.274
Paraguay,Latin America & Caribbean,18.7,2.497
Peru,Latin America & Caribbean,14.5,2.216
Philippines,East Asia & Pacific,26.5,2.777
Poland,Europe & Central Asia,4.4,1.39
Portugal,Europe & Central Asia,3.3,1.41
Puerto Rico,Latin America & Caribbean,,0.922
Qatar,Middle East & North Africa,5.7,1.816
Romania,Europe & Central Asia,6.7,1.8
Russian Federation,Europe & Central Asia,5.4,1.505
Rwanda,Sub-Saharan Africa,40.7,3.873
Samoa,East Asia & Pacific,17.1,3.997
San Marino,Europe & Central Asia,1.8,
Sao Tome and Principe,Sub-Saharan Africa,16.2,3.893
Saudi Arabia,Middle East & North Africa,7.0,2.465
Senegal,Sub-Saharan Africa,40.1,4.454
Serbia,Europe & Central Asia,5.6,1.48
Seychelles,Sub-Saharan Africa,14.2,2.29
Sierra Leone,Sub-Saharan Africa,108.5,4.08
Singapore,East Asia & Pacific,2.2,1.1
Sint Maarten (Dutch part),Latin America & Caribbean,,1.591
Slovak Republic,Europe & Central Asia,5.7,1.59
Slovenia,Europe & Central Asia,2.2,1.59
Solomon Islands,East Asia & Pacific,19.4,4.038
Somalia,Sub-Saharan Africa,114.9,6.417
South Africa,Sub-Saharan Africa,33.7,2.401
South Sudan,Sub-Saharan Africa,98.7,4.543
Spain,Europe & Central Asia,3.1,1.19
Sri Lanka,South Asia,7.0,2.0
St. Kitts and Nevis,Latin America & Caribbean,15.0,1.55
St. Lucia,Latin America & Caribbean,24.5,1.411
St. Martin (French part),Latin America & Caribbean,,2.448
St. Vincent and the Grenadines,Latin America & Caribbean,14.2,1.814
Sudan,Sub-Saharan Africa,56.6,4.542
Suriname,Latin America & Caribbean,17.7,2.371
Sweden,Europe & Central Asia,2.5,1.67
Switzerland,Europe & Central Asia,3.9,1.46
Syrian Arab Republic,Middle East & North Africa,22.8,2.798
Tajikistan,Europe & Central Asia,32.5,3.237
Tanzania,Sub-Saharan Africa,49.0,4.795
Thailand,East Asia & Pacific,8.6,1.341
Timor-Leste,East Asia & Pacific,52.2,3.247
Togo,Sub-Saharan Africa,64.6,4.323
Tonga,East Asia & Pacific,11.4,3.267
Trinidad and Tobago,Latin America & Caribbean,16.8,1.631
Tunisia,Middle East & North Africa,16.6,2.114
Turkiye,Europe & Central Asia,9.5,1.917
Turkmenistan,Europe & Central Asia,42.2,2.701
Turks and Caicos Islands,Latin America & Caribbean,4.6,1.679
Tuvalu,East Asia & Pacific,21.9,3.188
Uganda,Sub-Saharan Africa,43.7,4.693
Ukraine,Europe & Central Asia,8.4,1.217
United Arab Emirates,Middle East & North Africa,6.6,1.46
United Kingdom,Europe & Central Asia,4.3,1.56
United States,North America,6.3,1.6415
Uruguay,Latin America & Caribbean,6.3,1.477
Uzbekistan,Europe & Central Asia,14.7,2.904
Vanuatu,East Asia & Pacific,24.0,3.778
"Venezuela, RB",Latin America & Caribbean,24.2,2.23
Vietnam,East Asia & Pacific,20.9,1.955
Virgin Islands (U.S.),Latin America & Caribbean,,2.03
West Bank and Gaza,Middle East & North Africa,15.3,3.57
"Yemen, Rep.",Middle East & North Africa,59.7,3.886
Zambia,Sub-Saharan Africa,59.7,4.379
Zimbabwe,Sub-Saharan Africa,51.8,3.545
