CountryName,Region,Under5DeathsPer1000,FertilityRate
Ecuador,Latin America & Caribbean,148.8,6.507
"Egypt, Arab Rep.",Middle East & North Africa,263.5,6.433
El Salvador,Latin America & Caribbean,163.1,6.575
Equatorial Guinea,Sub-Saharan Africa,,5.756
Eritrea,Sub-Saharan Africa,,6.497
Estonia,Europe & Central Asia,,1.87
Eswatini,Sub-Saharan Africa,186.6,6.815
Ethiopia,Sub-Saharan Africa,247.9,6.867
Faroe Islands,Europe & Central Asia,,
Fiji,East Asia & Pacific,61.1,5.447
Finland,Europe & Central Asia,19.2,2.41
France,Europe & Central Asia,21.4,2.8
French Polynesia,East Asia & Pacific,,5.856
Gabon,Sub-Saharan Africa,185.5,4.861
"Gambia, The",Sub-Saharan Africa,320.8,6.183
Georgia,Europe & Central Asia,,2.729
Germany,Europe & Central Asia,,2.53
Ghana,Sub-Saharan Africa,202.2,6.875
Gibraltar,Europe & Central Asia,,3.349
Greece,Europe & Central Asia,38.5,2.32
Greenland,Europe & Central Asia,,
Grenada,Latin America & Caribbean,64.3,5.3
Guam,East Asia & Pacific,,5.185
Guatemala,Latin America & Caribbean,191.0,6.799
Guinea,Sub-Saharan Africa,333.9,6.19
Guinea-Bissau,Sub-Saharan Africa,,5.982
Guyana,Latin America & Caribbean,76.8,5.86
Haiti,Latin America & Caribbean,263.3,6.071
Honduras,Latin America & Caribbean,169.6,7.384
"Hong Kong SAR, China",East Asia & Pacific,,4.459
Hungary,Europe & Central Asia,43.2,1.89
Iceland,Europe & Central Asia,18.5,3.59
India,South Asia,225.3,5.881
Indonesia,East Asia & Pacific,188.7,5.601
"Iran, Islamic Rep.",Middle East & North Africa,,7.075
Iraq,Middle East & North Africa,137.2,6.97
Ireland,Europe & Central Asia,27.1,3.94
Isle of Man,Europe & Central Asia,,2.588
Israel,Middle East & North Africa,31.2,3.802
Italy,Europe & Central Asia,39.3,2.58
Jamaica,Latin America & Caribbean,64.8,5.83
Japan,East Asia & Pacific,22.7,1.58
Jordan,Middle East & North Africa,110.2,8.091
Kazakhstan,Europe & Central Asia,,4.008
Kenya,Sub-Saharan Africa,163.3,8.056
Kiribati,East Asia & Pacific,163.6,6.308
"Korea, Dem. People's Rep.",East Asia & Pacific,,3.709
"Korea, Rep.",East Asia & Pacific,81.7,4.81
Kosovo,Europe & Central Asia,,5.737
Kuwait,Middle East & North Africa,91.9,7.343
Kyrgyz Republic,Europe & Central Asia,,5.301
Lao PDR,East Asia & Pacific,,6.307
Latvia,Europe & Central Asia,,1.76
Lebanon,Middle East & North Africa,63.6,5.57
Lesotho,Sub-Saharan Africa,188.6,5.77
Liberia,Sub-Saharan Africa,305.4,6.628
Libya,Middle East & North Africa,183.2,7.994
Liechtenstein,Europe & Central Asia,,
Lithuania,Europe & Central Asia,,2.22
Luxembourg,Europe & Central Asia,27.4,2.34
"Macao SAR, China",East Asia & Pacific,,3.473
Madagascar,Sub-Saharan Africa,,7.307
Malawi,Sub-Saharan Africa,354.5,7.161
Malaysia,East Asia & Pacific,65.2,5.627
Maldives,South Asia,298.1,7.095
Mali,Sub-Saharan Africa,404.0,7.099
Malta,Middle East & North Africa,32.9,2.33
Marshall Islands,East Asia & Pacific,92.3,8.356
Mauritania,Sub-Saharan Africa,212.7,6.642
Mauritius,Sub-Saharan Africa,91.9,5.187
Mexico,Latin America & Caribbean,123.0,6.79
"Micronesia, Fed. Sts.",East Asia & Pacific,97.3,6.78
Moldova,Europe & Central Asia,,2.657
Monaco,Europe & Central Asia,,
Mongolia,East Asia & Pacific,,7.545
Montenegro,Europe & Central Asia,,3.051
Morocco,Middle East & North Africa,210.7,6.895
Mozambique,Sub-Saharan Africa,273.2,6.592
Myanmar,East Asia & Pacific,,5.956
Namibia,Sub-Saharan Africa,,6.488
Nauru,East Asia & Pacific,,5.213
Nepal,South Asia,291.4,6.001
Netherlands,Europe & Central Asia,17.9,2.9
New Caledonia,East Asia & Pacific,,5.385
New Zealand,East Asia & Pacific,22.5,3.41
Nicaragua,Latin America & Caribbean,184.5,6.988
Niger,Sub-Saharan Africa,,7.481
Nigeria,Sub-Saharan Africa,311.5,6.386
North Macedonia,Europe & Central Asia,,3.432
Northern Mariana Islands,East Asia & Pacific,,
Norway,Europe & Central Asia,19.0,2.9
Oman,Middle East & North Africa,282.0,7.277
Pakistan,South Asia,207.3,6.8
Palau,East Asia & Pacific,93.1,
Panama,Latin America & Caribbean,76.3,5.649
Papua New Guinea,East Asia & Pacific,163.2,6.232
Paraguay,Latin America & Caribbean,79.4,6.258
Peru,Latin America & Caribbean,187.4,6.68
Philippines,East Asia & Pacific,88.6,6.667
Poland,Europe & Central Asia,42.8,2.34
Portugal,Europe & Central Asia,80.3,3.16
Puerto Rico,Latin America & Caribbean,,3.817
Qatar,Middle East & North Africa,,6.736
Romania,Europe & Central Asia,57.9,1.9
Russian Federation,Europe & Central Asia,,2.1
Rwanda,Sub-Saharan Africa,210.1,8.198
Samoa,East Asia & Pacific,85.9,7.625
San Marino,Europe & Central Asia,,
Sao Tome and Principe,Sub-Saharan Africa,92.7,6.371
Saudi Arabia,Middle East & North Africa,,7.655
Senegal,Sub-Saharan Africa,297.4,7.217
Serbia,Europe & Central Asia,,1.998
Seychelles,Sub-Saharan Africa,92.6,
Sierra Leone,Sub-Saharan Africa,355.2,6.345
Singapore,East Asia & Pacific,33.6,4.46
Sint Maarten (Dutch part),Latin America & Caribbean,,3.621
Slovak Republic,Europe & Central Asia,,2.66
Slovenia,Europe & Central Asia,,2.465
Solomon Islands,East Asia & Pacific,127.4,6.941
Somalia,Sub-Saharan Africa,,7.257
South Africa,Sub-Saharan Africa,,5.907
South Sudan,Sub-Saharan Africa,335.4,6.819
Spain,Europe & Central Asia,40.3,2.91
Sri Lanka,South Asia,78.2,4.884
St. Kitts and Nevis,Latin America & Caribbean,,6.273
St. Lucia,Latin America & Caribbean,107.7,6.607
St. Martin (French part),Latin America & Caribbean,,5.892
St. Vincent and the Grenadines,Latin America & Caribbean,97.4,6.71
Sudan,Sub-Saharan Africa,162.7,6.902
Suriname,Latin America & Caribbean,,6.182
Sweden,Europe & Central Asia,15.6,2.37
Switzerland,Europe & Central Asia,21.6,2.5
Syrian Arab Republic,Middle East & North Africa,128.8,7.554
Tajikistan,Europe & Central Asia,,6.999
Tanzania,Sub-Saharan Africa,228.4,6.791
Thailand,East Asia & Pacific,117.5,6.108
Timor-Leste,East Asia & Pacific,,5.932
Togo,Sub-Saharan Africa,242.6,6.935
Tonga,East Asia & Pacific,64.9,6.596
Trinidad and Tobago,Latin America & Caribbean,56.3,4.292
Tunisia,Middle East & North Africa,223.8,7.052
Turkiye,Europe & Central Asia,211.2,5.925
Turkmenistan,Europe & Central Asia,,6.703
Turks and Caicos Islands,Latin America & Caribbean,87.7,5.59
Tuvalu,East Asia & Pacific,128.6,4.349
Uganda,Sub-Saharan Africa,202.0,7.116
Ukraine,Europe & Central Asia,,2.02
United Arab Emirates,Middle East & North Africa,138.9,6.494
United Kingdom,Europe & Central Asia,22.8,2.78
United States,North America,26.4,2.721
Uruguay,Latin America & Caribbean,57.4,2.819
Uzbekistan,Europe & Central Asia,,6.66
Vanuatu,East Asia & Pacific,123.9,6.613
"Venezuela, RB",Latin America & Caribbean,68.4,5.87
Vietnam,East Asia & Pacific,85.7,5.968
Virgin Islands (U.S.),Latin America & Caribbean,,4.568
West Bank and Gaza,Middle East & North Africa,,
"Yemen, Rep.",Middle East & North Africa,379.7,8.127
Zambia,Sub-Saharan Africa,188.8,7.304
Zimbabwe,Sub-Saharan Africa,126.9,7.24
Afghanistan,South Asia,318.4,7.339
Albania,Europe & Central Asia,,5.404
Algeria,Middle East & North Africa,245.3,7.667
American Samoa,East Asia & Pacific,,
Andorra,Europe & Central Asia,,
Angola,Sub-Saharan Africa,,7.267
Antigua and Barbuda,Latin America & Caribbean,43.3,4.178
Argentina,Latin America & Caribbean,,3.039
Armenia,Europe & Central Asia,,3.731
Aruba,Latin America & Caribbean,,3.417
Australia,East Asia & Pacific,22.0,2.848
Austria,Europe & Central Asia,30.5,2.62
Azerbaijan,Europe & Central Asia,,5.377
"Bahamas, The",Latin America & Caribbean,,4.368
Bahrain,Middle East & North Africa,103.3,6.828
Bangladesh,South Asia,231.2,6.854
Barbados,Latin America & Caribbean,55.3,3.637
Belarus,Europe & Central Asia,,2.26
Belgium,Europe & Central Asia,26.2,2.41
Belize,Latin America & Caribbean,110.5,6.358
Benin,Sub-Saharan Africa,273.9,6.65
Bermuda,North America,,2.645
Bhutan,South Asia,,6.669
Bolivia,Latin America & Caribbean,247.6,6.127
Bosnia and Herzegovina,Europe & Central Asia,,3.171
Botswana,Sub-Saharan Africa,136.9,6.678
Brazil,Latin America & Caribbean,142.6,5.368
British Virgin Islands,Latin America & Caribbean,53.0,4.009
Brunei Darussalam,East Asia & Pacific,64.0,6.026
Bulgaria,Europe & Central Asia,36.7,2.02
Burkina Faso,Sub-Saharan Africa,323.2,6.585
Burundi,Sub-Saharan Africa,246.7,7.156
Cabo Verde,Sub-Saharan Africa,161.1,6.982
Cambodia,East Asia & Pacific,,5.712
Cameroon,Sub-Saharan Africa,238.2,6.058
Canada,North America,25.0,2.528
Cayman Islands,Latin America & Caribbean,,
Central African Republic,Sub-Saharan Africa,240.4,6.015
Chad,Sub-Saharan Africa,,6.393
Channel Islands,Europe & Central Asia,,2.256
Chile,Latin America & Caribbean,94.0,4.144
China,East Asia & Pacific,,5.806
Colombia,Latin America & Caribbean,108.0,5.957
Comoros,Sub-Saharan Africa,,7.044
"Congo, Dem. Rep.",Sub-Saharan Africa,,6.268
"Congo, Rep.",Sub-Saharan Africa,150.1,6.29
Costa Rica,Latin America & Caribbean,84.9,5.416
Cote d'Ivoire,Sub-Saharan Africa,265.8,7.893
Croatia,Europe & Central Asia,,2.107
Cuba,Latin America & Caribbean,41.2,4.294
Curacao,Latin America & Caribbean,,3.836
Cyprus,Europe & Central Asia,,3.324
Czechia,Europe & Central Asia,,1.91
Denmark,Europe & Central Asia,19.0,2.35
Djibouti,Middle East & North Africa,,6.846
Dominica,Latin America & Caribbean,71.7,5.138
Dominican Republic,Latin America & Caribbean,132.2,6.755
Ecuador,Latin America & Caribbean,145.8,6.436
"Egypt, Arab Rep.",Middle East & North Africa,258.0,6.357
El Salvador,Latin America & Caribbean,159.9,6.49
Equatorial Guinea,Sub-Saharan Africa,,5.776
Eritrea,Sub-Saharan Africa,,6.504
Estonia,Europe & Central Asia,,1.9
Eswatini,Sub-Saharan Africa,182.6,6.751
Ethiopia,Sub-Saharan Africa,247.2,6.88
Faroe Islands,Europe & Central Asia,,
Fiji,East Asia & Pacific,59.4,5.238
Finland,Europe & Central Asia,18.4,2.32
France,Europe & Central Asia,20.6,2.75
French Polynesia,East Asia & Pacific,,5.827
Gabon,Sub-Saharan Africa,179.8,4.919
"Gambia, The",Sub-Saharan Africa,314.3,6.206
Georgia,Europe & Central Asia,,2.732
Germany,Europe & Central Asia,,2.48
Ghana,Sub-Saharan Africa,202.6,6.91
Gibraltar,Europe & Central Asia,,2.898
Greece,Europe & Central Asia,37.4,2.45
Greenland,Europe & Central Asia,,
Grenada,Latin America & Caribbean,61.6,5.04
Guam,East Asia & Pacific,,4.799
Guatemala,Latin America & Caribbean,185.9,6.754
Guinea,Sub-Saharan Africa,331.1,6.202
Guinea-Bissau,Sub-Saharan Africa,,5.994
Guyana,Latin America & Caribbean,75.6,5.756
Haiti,Latin America & Caribbean,258.5,6.027
Honduras,Latin America & Caribbean,163.6,7.334
"Hong Kong SAR, China",East Asia & Pacific,,4.043
Hungary,Europe & Central Asia,42.0,2.01
Iceland,Europe & Central Asia,17.9,3.28
India,South Asia,222.7,5.825
Indonesia,East Asia & Pacific,183.0,5.577
"Iran, Islamic Rep.",Middle East & North Africa,,7.051
Iraq,Middle East & North Africa,130.4,6.997
Ireland,Europe & Central Asia,25.5,3.84
Isle of Man,Europe & Central Asia,,2.497
Israel,Middle East & North Africa,30.3,3.79
Italy,Europe & Central Asia,37.8,2.5
Jamaica,Latin America & Caribbean,62.5,5.847
Japan,East Asia & Pacific,21.0,2.23
Jordan,Middle East & North Africa,104.4,8.107
Kazakhstan,Europe & Central Asia,,3.877
Kenya,Sub-Saharan Africa,160.1,8.046
Kiribati,East Asia & Pacific,157.3,6.146
"Korea, Dem. People's Rep.",East Asia & Pacific,,4.05
"Korea, Rep.",East Asia & Pacific,76.4,4.634
Kosovo,Europe & Central Asia,,5.777
Kuwait,Middle East & North Africa,85.7,7.32
Kyrgyz Republic,Europe & Central Asia,,5.201
Lao PDR,East Asia & Pacific,,6.306
Latvia,Europe & Central Asia,,1.8
Lebanon,Middle East & North Africa,62.6,5.485
Lesotho,Sub-Saharan Africa,187.5,5.759
Liberia,Sub-Saharan Africa,301.5,6.65
Libya,Middle East & North Africa,170.4,8.024
Liechtenstein,Europe & Central Asia,,
Lithuania,Europe & Central Asia,27.2,2.23
Luxembourg,Europe & Central Asia,26.1,2.24
"Macao SAR, China",East Asia & Pacific,,3.086
Madagascar,Sub-Saharan Africa,,7.304
Malawi,Sub-Saharan Africa,352.7,7.22
Malaysia,East Asia & Pacific,62.4,5.422
Maldives,South Asia,288.1,7.18
Mali,Sub-Saharan Africa,397.1,7.129
Malta,Middle East & North Africa,31.8,2.24
Marshall Islands,East Asia & Pacific,88.6,8.34
Mauritania,Sub-Saharan Africa,205.7,6.673
Mauritius,Sub-Saharan Africa,94.5,4.847
Mexico,Latin America & Caribbean,118.7,6.753
"Micronesia, Fed. Sts.",East Asia & Pacific,93.1,6.815
Moldova,Europe & Central Asia,,2.629
Monaco,Europe & Central Asia,,
Mongolia,East Asia & Pacific,,7.529
Montenegro,Europe & Central Asia,,2.909
Morocco,Middle East & North Africa,205.0,6.844
Mozambique,Sub-Saharan Africa,274.5,6.625
Myanmar,East Asia & Pacific,,5.923
Namibia,Sub-Saharan Africa,95.2,6.51
Nauru,East Asia & Pacific,,5.074
Nepal,South Asia,284.7,5.98
Netherlands,Europe & Central Asia,17.4,2.81
New Caledonia,East Asia & Pacific,,5.17
New Zealand,East Asia & Pacific,22.0,3.35
Nicaragua,Latin America & Caribbean,181.8,6.953
Niger,Sub-Saharan Africa,318.0,7.49
Nigeria,Sub-Saharan Africa,304.8,6.401
North Macedonia,Europe & Central Asia,,3.332
Northern Mariana Islands,East Asia & Pacific,,
Norway,Europe & Central Asia,18.2,2.81
Oman,Middle East & North Africa,268.7,7.282
Pakistan,South Asia,202.3,6.8
Palau,East Asia & Pacific,90.3,
Panama,Latin America & Caribbean,73.9,5.546
Papua New Guinea,East Asia & Pacific,157.9,6.242
Paraguay,Latin America & Caribbean,79.0,6.134
Peru,Latin America & Caribbean,181.1,6.6
Philippines,East Asia & Pacific,86.9,6.539
Poland,Europe & Central Asia,40.4,2.33
Portugal,Europe & Central Asia,77.2,3.16
Puerto Rico,Latin America & Caribbean,,3.569
Qatar,Middle East & North Africa,,6.674
Romania,Europe & Central Asia,64.0,3.66
Russian Federation,Europe & Central Asia,,2.04
Rwanda,Sub-Saharan Africa,211.9,8.201
Samoa,East Asia & Pacific,82.6,7.612
San Marino,Europe & Central Asia,,
Sao Tome and Principe,Sub-Saharan Africa,90.1,6.394
Saudi Arabia,Middle East & North Africa,,7.658
Senegal,Sub-Saharan Africa,296.4,7.237
Serbia,Europe & Central Asia,,1.975
Seychelles,Sub-Saharan Africa,89.1,
Sierra Leone,Sub-Saharan Africa,349.4,6.383
Singapore,East Asia & Pacific,31.8,3.91
Sint Maarten (Dutch part),Latin America & Caribbean,,3.522
Slovak Republic,Europe & Central Asia,,2.48
Slovenia,Europe & Central Asia,,2.37
Solomon Islands,East Asia & Pacific,120.3,6.94
Somalia,Sub-Saharan Africa,,7.248
South Africa,Sub-Saharan Africa,,5.852
South Sudan,Sub-Saharan Africa,332.5,6.838
Spain,Europe & Central Asia,38.3,2.94
Sri Lanka,South Asia,75.5,4.855
St. Kitts and Nevis,Latin America & Caribbean,,5.865
St. Lucia,Latin America & Caribbean,98.4,6.508
St. Martin (French part),Latin America & Caribbean,,5.864
St. Vincent and the Grenadines,Latin America & Caribbean,88.7,6.594
Sudan,Sub-Saharan Africa,161.0,6.941
Suriname,Latin America & Caribbean,,6.053
Sweden,Europe & Central Asia,14.9,2.28
Switzerland,Europe & Central Asia,20.7,2.39
Syrian Arab Republic,Middle East & North Africa,122.8,7.583
Tajikistan,Europe & Central Asia,,7.024
Tanzania,Sub-Saharan Africa,225.2,6.798
Thailand,East Asia & Pacific,112.9,6.01
Timor-Leste,East Asia & Pacific,,5.858
Togo,Sub-Saharan Africa,238.7,6.959
Tonga,East Asia & Pacific,60.6,6.59
Trinidad and Tobago,Latin America & Caribbean,55.0,4.061
Tunisia,Middle East & North Africa,212.3,6.955
Turkiye,Europe & Central Asia,204.7,5.796
Turkmenistan,Europe & Central Asia,,6.635
Turks and Caicos Islands,Latin America & Caribbean,80.9,5.581
Tuvalu,East Asia & Pacific,122.6,4.223
Uganda,Sub-Saharan Africa,198.9,7.148
Ukraine,Europe & Central Asia,,2.01
United Arab Emirates,Middle East & North Africa,128.1,6.492
United Kingdom,Europe & Central Asia,22.2,2.68
United States,North America,25.7,2.558
Uruguay,Latin America & Caribbean,56.9,2.784
Uzbekistan,Europe & Central Asia,,6.567
Vanuatu,East Asia & Pacific,119.1,6.592
"Venezuela, RB",Latin America & Caribbean,67.1,5.748
Vietnam,East Asia & Pacific,85.0,5.883
Virgin Islands (U.S.),Latin America & Caribbean,,4.866
West Bank and Gaza,Middle East & North Africa,,
"Yemen, Rep.",Middle East & North Africa,368.1,8.166
Zambia,Sub-Saharan Africa,187.9,7.317
Zimbabwe,Sub-Saharan Africa,123.6,7.215
Afghanistan,South Asia,312.8,7.363
Albania,Europe & Central Asia,,5.338
Algeria,Middle East & North Africa,244.6,7.655
American Samoa,East Asia & Pacific,,
Andorra,Europe & Central Asia,,
Angola,Sub-Saharan Africa,,7.332
Antigua and Barbuda,Latin America & Caribbean,38.8,4.014
Argentina,Latin America & Caribbean,,3.027
Armenia,Europe & Central Asia,,3.622
Aruba,Latin America & Caribbean,,3.226
Australia,East Asia & Pacific,21.9,2.888
Austria,Europe & Central Asia,29.7,2.58
Azerbaijan,Europe & Central Asia,,5.222
"Bahamas, The",Latin America & Caribbean,29.4,4.28
Bahrain,Middle East & North Africa,93.5,6.703
Bangladesh,South Asia,229.6,6.85
Barbados,Latin America & Caribbean,52.8,3.46
Belarus,Europe & Central Asia,,2.22
Belgium,Europe & Central Asia,25.5,2.31
Belize,Latin America & Caribbean,106.1,6.337
Benin,Sub-Saharan Africa,269.2,6.683
Bermuda,North America,,2.525
Bhutan,South Asia,290.5,6.664
Bolivia,Latin America & Caribbean,241.6,6.086
Bosnia and Herzegovina,Europe & Central Asia,,3.047
Botswana,Sub-Saharan Africa,132.8,6.668
Brazil,Latin America & Caribbean,139.4,5.202
British Virgin Islands,Latin America & Caribbean,49.8,3.946
Brunei Darussalam,East Asia & Pacific,60.7,5.912
Bulgaria,Europe & Central Asia,35.6,2.27
Burkina Faso,Sub-Saharan Africa,320.7,6.645
Burundi,Sub-Saharan Africa,248.4,7.18
Cabo Verde,Sub-Saharan Africa,156.5,6.97
Cambodia,East Asia & Pacific,,5.648
Cameroon,Sub-Saharan Africa,229.6,6.108
Canada,North America,24.0,2.386
Cayman Islands,Latin America & Caribbean,,
Central African Republic,Sub-Saharan Africa,235.0,6.06
Chad,Sub-Saharan Africa,,6.432
Channel Islands,Europe & Central Asia,,2.176
Chile,Latin America & Caribbean,86.7,4.025
China,East Asia & Pacific,,6.508
Colombia,Latin America & Caribbean,104.6,5.737
Comoros,Sub-Saharan Africa,,7.055
"Congo, Dem. Rep.",Sub-Saharan Africa,,6.298
"Congo, Rep.",Sub-Saharan Africa,145.2,6.327
Costa Rica,Latin America & Caribbean,81.9,5.028
Cote d'Ivoire,Sub-Saharan Africa,258.6,7.912
Croatia,Europe & Central Asia,,2.026
Cuba,Latin America & Caribbean,39.5,4.212
Curacao,Latin America & Caribbean,,3.675
Cyprus,Europe & Central Asia,,3.267
Czechia,Europe & Central Asia,,1.84
Denmark,Europe & Central Asia,18.1,2.12
Djibouti,Middle East & North Africa,,6.852
Dominica,Latin America & Caribbean,65.4,4.964
Dominican Republic,Latin America & Caribbean,129.4,6.548
Ecuador,Latin America & Caribbean,142.8,6.351
"Egypt, Arab Rep.",Middle East & North Africa,253.5,6.286
El Salvador,Latin America & Caribbean,156.7,6.386
Equatorial Guinea,Sub-Saharan Africa,,5.791
Eritrea,Sub-Saharan Africa,,6.503
Estonia,Europe & Central Asia,,2.03
Eswatini,Sub-Saharan Africa,178.4,6.757
Ethiopia,Sub-Saharan Africa,246.7,6.903
Faroe Islands,Europe & Central Asia,,
Fiji,East Asia & Pacific,58.1,5.03
Finland,Europe & Central Asia,17.6,2.14
France,Europe & Central Asia,19.9,2.69
French Polynesia,East Asia & Pacific,,5.793
Gabon,Sub-Saharan Africa,174.4,4.984
"Gambia, The",Sub-Saharan Africa,307.7,6.221
Georgia,Europe & Central Asia,,2.679
Germany,Europe & Central Asia,27.1,2.38
Ghana,Sub-Saharan Africa,202.9,6.911
Gibraltar,Europe & Central Asia,,2.802
Greece,Europe & Central Asia,36.0,2.42
Greenland,Europe & Central Asia,,
Grenada,Latin America & Caribbean,59.4,4.835
Guam,East Asia & Pacific,,4.555
Guatemala,Latin America & Caribbean,180.9,6.706
Guinea,Sub-Saharan Africa,327.9,6.214
Guinea-Bissau,Sub-Saharan Africa,,6.008
Guyana,Latin America & Caribbean,74.9,5.642
Haiti,Latin America & Caribbean,253.6,5.974
Honduras,Latin America & Caribbean,157.6,7.289
"Hong Kong SAR, China",East Asia & Pacific,,3.76
Hungary,Europe & Central Asia,40.9,2.06
Iceland,Europe & Central Asia,17.2,3.06
India,South Asia,220.2,5.76
Indonesia,East Asia & Pacific,177.2,5.54
"Iran, Islamic Rep.",Middle East & North Africa,,6.974
Iraq,Middle East & North Africa,124.3,7.046
Ireland,Europe & Central Asia,24.1,3.77
Isle of Man,Europe & Central Asia,,2.433
Israel,Middle East & North Africa,29.6,3.786
Italy,Europe & Central Asia,36.4,2.46
Jamaica,Latin America & Caribbean,60.2,5.817
Japan,East Asia & Pacific,19.6,2.13
Jordan,Middle East & North Africa,99.1,8.12
Kazakhstan,Europe & Central Asia,,3.681
Kenya,Sub-Saharan Africa,157.0,8.038
Kiribati,East Asia & Pacific,151.5,5.971
"Korea, Dem. People's Rep.",East Asia & Pacific,,3.872
"Korea, Rep.",East Asia & Pacific,71.1,4.489
Kosovo,Europe & Central Asia,,5.745
Kuwait,Middle East & North Africa,80.0,7.26
Kyrgyz Republic,Europe & Central Asia,,5.088
Lao PDR,East Asia & Pacific,,6.298
Latvia,Europe & Central Asia,,1.83
Lebanon,Middle East & North Africa,61.7,5.382
Lesotho,Sub-Saharan Africa,185.2,5.745
Liberia,Sub-Saharan Africa,297.2,6.657
Libya,Middle East & North Africa,158.1,8.045
Liechtenstein,Europe & Central Asia,,
Lithuania,Europe & Central Asia,26.3,2.24
Luxembourg,Europe & Central Asia,24.8,2.12
"Macao SAR, China",East Asia & Pacific,,2.677
Madagascar,Sub-Saharan Africa,145.9,7.297
Malawi,Sub-Saharan Africa,350.5,7.276
Malaysia,East Asia & Pacific,59.9,5.284
Maldives,South Asia,278.7,7.223
Mali,Sub-Saharan Africa,390.7,7.152
Malta,Middle East & North Africa,30.5,2.12
Marshall Islands,East Asia & Pacific,85.0,8.315
Mauritania,Sub-Saharan Africa,199.3,6.676
Mauritius,Sub-Saharan Africa,93.7,4.516
Mexico,Latin America & Caribbean,114.6,6.707
"Micronesia, Fed. Sts.",East Asia & Pacific,89.2,6.86
Moldova,Europe & Central Asia,,2.597
Monaco,Europe & Central Asia,,
Mongolia,East Asia & Pacific,,7.517
Montenegro,Europe & Central Asia,,2.811
Morocco,Middle East & North Africa,199.7,6.782
Mozambique,Sub-Saharan Africa,274.8,6.668
Myanmar,East Asia & Pacific,182.0,5.874
Namibia,Sub-Saharan Africa,95.5,6.535
Nauru,East Asia & Pacific,,4.938
Nepal,South Asia,278.1,5.969
Netherlands,Europe & Central Asia,16.9,2.72
New Caledonia,East Asia & Pacific,,4.88
New Zealand,East Asia & Pacific,21.6,3.34
Nicaragua,Latin America & Caribbean,178.7,6.907
Niger,Sub-Saharan Africa,322.2,7.497
Nigeria,Sub-Saharan Africa,298.0,6.42
North Macedonia,Europe & Central Asia,,3.219
Northern Mariana Islands,East Asia & Pacific,,
Norway,Europe & Central Asia,17.5,2.75
Oman,Middle East & North Africa,255.2,7.286
Pakistan,South Asia,198.1,6.8
Palau,East Asia & Pacific,87.4,
Panama,Latin America & Caribbean,71.5,5.432
Papua New Guinea,East Asia & Pacific,152.6,6.252
Paraguay,Latin America & Caribbean,78.7,6.01
Peru,Latin America & Caribbean,175.4,6.513
Philippines,East Asia & Pacific,85.5,6.409
Poland,Europe & Central Asia,38.8,2.24
Portugal,Europe & Central Asia,75.0,3.12
Puerto Rico,Latin America & Caribbean,,3.381
Qatar,Middle East & North Africa,,6.613
Romania,Europe & Central Asia,65.5,3.63
Russian Federation,Europe & Central Asia,,1.99
Rwanda,Sub-Saharan Africa,214.8,8.207
Samoa,East Asia & Pacific,79.2,7.592
San Marino,Europe & Central Asia,,
Sao Tome and Principe,Sub-Saharan Africa,87.9,6.419
Saudi Arabia,Middle East & North Africa,,7.627
Senegal,Sub-Saharan Africa,294.5,7.251
Serbia,Europe & Central Asia,,1.939
Seychelles,Sub-Saharan Africa,85.0,
Sierra Leone,Sub-Saharan Africa,343.5,6.385
Singapore,East Asia & Pacific,30.0,3.53
Sint Maarten (Dutch part),Latin America & Caribbean,,3.426
Slovak Republic,Europe & Central Asia,,2.39
Slovenia,Europe & Central Asia,,2.253
Solomon Islands,East Asia & Pacific,113.2,6.917
Somalia,Sub-Saharan Africa,,7.231
South Africa,Sub-Saharan Africa,,5.782
South Sudan,Sub-Saharan Africa,329.3,6.855
Spain,Europe & Central Asia,36.1,2.87
Sri Lanka,South Asia,73.1,4.682
St. Kitts and Nevis,Latin America & Caribbean,,5.498
St. Lucia,Latin America & Caribbean,89.6,6.387
St. Martin (French part),Latin America & Caribbean,,5.842
St. Vincent and the Grenadines,Latin America & Caribbean,82.0,6.449
Sudan,Sub-Saharan Africa,159.5,6.971
Suriname,Latin America & Caribbean,,5.922
Sweden,Europe & Central Asia,14.4,2.07
Switzerland,Europe & Central Asia,19.9,2.29
Syrian Arab Republic,Middle East & North Africa,116.6,7.601
Tajikistan,Europe & Central Asia,,7.035
Tanzania,Sub-Saharan Africa,222.2,6.835
Thailand,East Asia & Pacific,108.2,5.888
Timor-Leste,East Asia & Pacific,,5.788
Togo,Sub-Saharan Africa,234.5,6.976
Tonga,East Asia & Pacific,56.6,6.371
Trinidad and Tobago,Latin America & Caribbean,53.8,3.921
Tunisia,Middle East & North Africa,201.1,6.835
Turkiye,Europe & Central Asia,198.6,5.749
Turkmenistan,Europe & Central Asia,,6.56
Turks and Caicos Islands,Latin America & Caribbean,74.6,5.597
Tuvalu,East Asia & Pacific,117.0,4.125
Uganda,Sub-Saharan Africa,196.0,7.187
Ukraine,Europe & Central Asia,,1.998
United Arab Emirates,Middle East & North Africa,117.6,6.497
United Kingdom,Europe & Central Asia,21.8,2.6
United States,North America,24.9,2.464
Uruguay,Latin America & Caribbean,56.2,2.771
Uzbekistan,Europe & Central Asia,,6.404
Vanuatu,East Asia & Pacific,114.3,6.54
"Venezuela, RB",Latin America & Caribbean,65.8,5.614
Vietnam,East Asia & Pacific,84.3,6.029
Virgin Islands (U.S.),Latin America & Caribbean,,4.744
West Bank and Gaza,Middle East & North Africa,,
